"salmon.geneid","zebrafish.geneid","human.geneid","zebrafish.genename","zebrafish.genename_full","human.genename","human.genename_full","gene_name_base"
"ENSSSAG00000068278","ENSDARG00000069696","ENSG00000121931","lrif1","lrif1","LRIF1","LRIF1","lrif1"
"ENSSSAG00000068280","ENSDARG00000027428","ENSG00000148688","rpp30","rpp30","RPP30","RPP30","rpp30"
"ENSSSAG00000068281","ENSDARG00000044437","ENSG00000146670","cdca5","cdca5","CDCA5","CDCA5","cdca5"
"ENSSSAG00000068282","ENSDARG00000078959","NA","tpcn3","tpcn3",NA,NA,"tpcn3"
"ENSSSAG00000068283","ENSDARG00000055759","ENSG00000142634","efhd2","efhd2","EFHD2","EFHD2","efhd2"
"ENSSSAG00000068285","ENSDARG00000030872","ENSG00000087237","cetp","cetp","CETP","CETP","cetp"
"ENSSSAG00000068290","ENSDARG00000027428","ENSG00000148688","rpp30","rpp30","RPP30","RPP30","rpp30"
"ENSSSAG00000068292","ENSDARG00000035732","ENSG00000133794","bmal1b","bmal1b","BMAL1","BMAL1","bmal1"
"ENSSSAG00000068294","ENSDARG00000056744","ENSG00000215704|ENSG00000142615","ela2","ela2","CELA2B","CELA2B|CELA2A","ela2"
"ENSSSAG00000068295","ENSDARG00000101378","ENSG00000172890","nadsyn1","nadsyn1","NADSYN1","NADSYN1","nadsyn1"
"ENSSSAG00000068296","ENSDARG00000093739","NA","cfap97d2","cfap97d2",NA,NA,"cfap97d2"
"ENSSSAG00000068297","ENSDARG00000101209","ENSG00000091136","lamb1a","lamb1a","LAMB1","LAMB1","lamb1"
"ENSSSAG00000068301","ENSDARG00000056765","ENSG00000142615|ENSG00000215704","ela2l","ela2l","CELA2A","CELA2A|CELA2B","ela2l"
"ENSSSAG00000068302","ENSDARG00000040110","ENSG00000138182","kif20bb","kif20bb","KIF20B","KIF20B","kif20b"
"ENSSSAG00000068303","ENSDARG00000056209","ENSG00000177791","myoz1a","myoz1a","MYOZ1","MYOZ1","myoz1"
"ENSSSAG00000068304","ENSDARG00000038770","NA","zgc:103625","zgc:103625",NA,NA,"zgc:103625"
"ENSSSAG00000068306","ENSDARG00000103542","ENSG00000112715","vegfaa","vegfaa","VEGFA","VEGFA","vegfa"
"ENSSSAG00000068313","ENSDARG00000075592","ENSG00000163154","tnfaip8l2a","tnfaip8l2a","TNFAIP8L2","TNFAIP8L2","tnfaip8l2"
"ENSSSAG00000068314","ENSDARG00000034605","NA","zgc:153169","zgc:153169",NA,NA,"zgc:153169"
"ENSSSAG00000068317","ENSDARG00000043442|ENSDARG00000070401","ENSG00000172005","mala","mala.2|mala.1","MAL","MAL","mal"
"ENSSSAG00000068322","ENSDARG00000104311","ENSG00000010803","scmh1","scmh1","SCMH1","SCMH1","scmh1"
"ENSSSAG00000068332","ENSDARG00000007943","NA","gabpb2a","gabpb2a",NA,NA,"gabpb2a"
"ENSSSAG00000068334","ENSDARG00000039411","ENSG00000011523","cep68","cep68","CEP68","CEP68","cep68"
"ENSSSAG00000068338","ENSDARG00000076923","ENSG00000189337","kazna","kazna","KAZN","KAZN","kazn"
"ENSSSAG00000068343","ENSDARG00000023724","ENSG00000197622","cdc42se1","cdc42se1","CDC42SE1","CDC42SE1","cdc42se1"
"ENSSSAG00000068344","ENSDARG00000003965","ENSG00000107807","tlx1","tlx1","TLX1","TLX1","tlx1"
"ENSSSAG00000068345","ENSDARG00000013422","ENSG00000183023","slc8a1a","slc8a1a","SLC8A1","SLC8A1","slc8a1"
"ENSSSAG00000068348","ENSDARG00000054804","ENSG00000143401","anp32e","anp32e","ANP32E","ANP32E","anp32e"
"ENSSSAG00000068350","ENSDARG00000003399","ENSG00000107831","fgf8a","fgf8a","FGF8","FGF8","fgf8"
"ENSSSAG00000068354","ENSDARG00000089885","ENSG00000152779","slc16a12b","slc16a12b","SLC16A12","SLC16A12","slc16a12"
"ENSSSAG00000068355","ENSDARG00000035535","ENSG00000145715","rasa1a","rasa1a","RASA1","RASA1","rasa1"
"ENSSSAG00000068356","ENSDARG00000033551","ENSG00000107829","fbxw4","fbxw4","FBXW4","FBXW4","fbxw4"
"ENSSSAG00000068357","ENSDARG00000111638","ENSG00000100065",NA,"","CARD10","CARD10","card10"
"ENSSSAG00000068358","ENSDARG00000017055","ENSG00000066185","zmynd12","zmynd12","ZMYND12","ZMYND12","zmynd12"
"ENSSSAG00000068362","ENSDARG00000067976","ENSG00000169083","ar","ar","AR","AR","ar"
"ENSSSAG00000068365","ENSDARG00000008098","NA","ifit9","ifit9",NA,NA,"ifit9"
"ENSSSAG00000068366","ENSDARG00000060471","ENSG00000140297","gcnt3","gcnt3","GCNT3","GCNT3","gcnt3"
"ENSSSAG00000068367","ENSDARG00000053896","ENSG00000170385","slc30a1b","slc30a1b","SLC30A1","SLC30A1","slc30a1"
"ENSSSAG00000068368","ENSDARG00000004866","ENSG00000143409","mindy1","mindy1","MINDY1","MINDY1","mindy1"
"ENSSSAG00000068369","ENSDARG00000101461","ENSG00000142227","emp3b","emp3b","EMP3","EMP3","emp3"
"ENSSSAG00000068370","ENSDARG00000060027","ENSG00000146909","nom1","nom1","NOM1","NOM1","nom1"
"ENSSSAG00000068371","ENSDARG00000039483","NA","si:dkey-51a16","si:dkey-51a16.9",NA,NA,"si:dkey-51a16"
"ENSSSAG00000068372","ENSDARG00000020758","ENSG00000152154","tmem178a","tmem178a","TMEM178A","TMEM178A","tmem178a"
"ENSSSAG00000068373","ENSDARG00000045190","ENSG00000138135","ch25h","ch25h","CH25H","CH25H","ch25h"
"ENSSSAG00000068375","ENSDARG00000104219","ENSG00000183098","gpc6b","gpc6b","GPC6","GPC6","gpc6"
"ENSSSAG00000068377","ENSDARG00000025094","ENSG00000134109","edem1","edem1","EDEM1","EDEM1","edem1"
"ENSSSAG00000068378","ENSDARG00000056961","NA","ccdc30","ccdc30",NA,NA,"ccdc30"
"ENSSSAG00000068379","ENSDARG00000045180","NA","acta2","acta2",NA,NA,"acta2"
"ENSSSAG00000068380","ENSDARG00000098386","ENSG00000171793","ctps1b","ctps1b","CTPS1","CTPS1","ctps1"
"ENSSSAG00000068381","ENSDARG00000076389|ENSDARG00000079723","ENSG00000100354","tnrc6bb","tnrc6bb.2|tnrc6bb.1","TNRC6B","TNRC6B","tnrc6b"
"ENSSSAG00000068383","ENSDARG00000092644","ENSG00000092847","ago1","ago1","AGO1","AGO1","ago1"
"ENSSSAG00000068384","ENSDARG00000007275","NA","si:ch211-251b21","si:ch211-251b21.1",NA,NA,"si:ch211-251b21"
"ENSSSAG00000068385","ENSDARG00000005989","ENSG00000143344","rgl1","rgl1","RGL1","RGL1","rgl1"
"ENSSSAG00000068386","ENSDARG00000102105","ENSG00000129562","dad1","dad1","DAD1","DAD1","dad1"
"ENSSSAG00000068387","ENSDARG00000057738","ENSG00000119969","hells","hells","HELLS","HELLS","hells"
"ENSSSAG00000068390","ENSDARG00000024092","ENSG00000105983","lmbr1","lmbr1","LMBR1","LMBR1","lmbr1"
"ENSSSAG00000068393","ENSDARG00000078547","ENSG00000162897","si:ch211-264f5","si:ch211-264f5.2","FCAMR","FCAMR","fcamr"
"ENSSSAG00000068410","ENSDARG00000010423","NA","npsn","npsn",NA,NA,"npsn"
"ENSSSAG00000068412","ENSDARG00000043288","ENSG00000154059","impact","impact","IMPACT","IMPACT","impact"
"ENSSSAG00000068414","ENSDARG00000040991","ENSG00000077063","cttnbp2","cttnbp2","CTTNBP2","CTTNBP2","cttnbp2"
"ENSSSAG00000068417","ENSDARG00000087742","ENSG00000011566","map4k3a","map4k3a","MAP4K3","MAP4K3","map4k3"
"ENSSSAG00000068418","ENSDARG00000003920","ENSG00000119335","setb","setb","SET","SET","set"
"ENSSSAG00000068419","ENSDARG00000062231","ENSG00000160094","znf362b","znf362b","ZNF362","ZNF362","znf362"
"ENSSSAG00000068420","ENSDARG00000101334","ENSG00000109861","ctsc","ctsc","CTSC","CTSC","ctsc"
"ENSSSAG00000068421","ENSDARG00000012403","NA","ercc6l2","ercc6l2",NA,NA,"ercc6l2"
"ENSSSAG00000068422","ENSDARG00000076501","ENSG00000143970","asxl2","asxl2","ASXL2","ASXL2","asxl2"
"ENSSSAG00000068423","ENSDARG00000073997","NA","srpk1a","srpk1a",NA,NA,"srpk1a"
"ENSSSAG00000068425","ENSDARG00000101094","ENSG00000058063","atp11b","atp11b","ATP11B","ATP11B","atp11b"
"ENSSSAG00000068428","ENSDARG00000038643","ENSG00000158578","alas2","alas2","ALAS2","ALAS2","alas2"
"ENSSSAG00000068429","ENSDARG00000110183","ENSG00000137478",NA,"","FCHSD2","FCHSD2","fchsd2"
"ENSSSAG00000068430","ENSDARG00000061100","ENSG00000134440","nars1","nars1","NARS1","NARS1","nars1"
"ENSSSAG00000068432","ENSDARG00000098597","NA",NA,"",NA,NA,NA
"ENSSSAG00000068433","ENSDARG00000063354","ENSG00000114626","abtb1","abtb1","ABTB1","ABTB1","abtb1"
"ENSSSAG00000068434","ENSDARG00000087867","ENSG00000151229","SLC2A13","SLC2A13","SLC2A13","SLC2A13","slc2a13"
"ENSSSAG00000068437","ENSDARG00000090876|ENSDARG00000091956","ENSG00000198792","tmem184bb","tmem184bb.2|tmem184bb.1","TMEM184B","TMEM184B","tmem184b"
"ENSSSAG00000068438","ENSDARG00000024895","ENSG00000071859|ENSG00000145945","fam50a","fam50a","FAM50A","FAM50A|FAM50B","fam50a"
"ENSSSAG00000068439","ENSDARG00000023287","ENSG00000130948","hsd17b3","hsd17b3","HSD17B3","HSD17B3","hsd17b3"
"ENSSSAG00000068440","ENSDARG00000101644","ENSG00000110237","arhgef17","arhgef17","ARHGEF17","ARHGEF17","arhgef17"
"ENSSSAG00000068443","ENSDARG00000061690","ENSG00000144815","nxpe3","nxpe3","NXPE3","NXPE3","nxpe3"
"ENSSSAG00000068444","ENSDARG00000017676","ENSG00000087245","mmp2","mmp2","MMP2","MMP2","mmp2"
"ENSSSAG00000068447","ENSDARG00000056587","ENSG00000186104","cyp2r1","cyp2r1","CYP2R1","CYP2R1","cyp2r1"
"ENSSSAG00000068449","ENSDARG00000099104","ENSG00000114391","rpl24","rpl24","RPL24","RPL24","rpl24"
"ENSSSAG00000068451","ENSDARG00000024954","ENSG00000158604","tmed4","tmed4","TMED4","TMED4","tmed4"
"ENSSSAG00000068452","ENSDARG00000010662","ENSG00000153832","fbxo36a","fbxo36a","FBXO36","FBXO36","fbxo36"
"ENSSSAG00000068453","ENSDARG00000002264","ENSG00000182154","mrpl41","mrpl41","MRPL41","MRPL41","mrpl41"
"ENSSSAG00000068454","ENSDARG00000102407","ENSG00000182504","cep97","cep97","CEP97","CEP97","cep97"
"ENSSSAG00000068455","ENSDARG00000060288","ENSG00000147471","plpbp","plpbp","PLPBP","PLPBP","plpbp"
"ENSSSAG00000068456","ENSDARG00000062190","ENSG00000152270","pde3b","pde3b","PDE3B","PDE3B","pde3b"
"ENSSSAG00000068457","ENSDARG00000082611","ENSG00000201998","SNORA23","SNORA23","SNORA23","SNORA23","snora23"
"ENSSSAG00000068458","ENSDARG00000024478","ENSG00000143158","mpc2b","mpc2b","MPC2","MPC2","mpc2"
"ENSSSAG00000068460","ENSDARG00000006008","ENSG00000080166","dct","dct","DCT","DCT","dct"
"ENSSSAG00000068461","ENSDARG00000094469","ENSG00000170949|ENSG00000196437|ENSG00000174586|ENSG00000213973|ENSG00000156853|ENSG00000169955|ENSG00000196247|ENSG00000197497|ENSG00000124092|ENSG00000180035|ENSG00000189420|ENSG00000197841|ENSG00000096654|ENSG00000167232|ENSG00000197162|ENSG00000089335|ENSG00000197937|ENSG00000169951|ENSG00000229809|ENSG00000196350|ENSG00000170265|ENSG00000160321|ENSG00000198040","si:ch211-148l7","si:ch211-148l7.4","ZNF160","ZNF160|ZNF569|ZNF497|ZNF99|ZNF689|ZNF747|ZNF107|ZNF665|CTCFL|ZNF48|ZFP92|ZNF181|ZNF184|ZNF91|ZNF785|ZNF302|ZNF347|ZNF764|ZNF688|ZNF729|ZNF282|ZNF208|ZNF84","si:ch211-148l7"
"ENSSSAG00000068463","ENSDARG00000053082","ENSG00000115970","thada","thada","THADA","THADA","thada"
"ENSSSAG00000068464","ENSDARG00000060035","ENSG00000105982","rnf32","rnf32","RNF32","RNF32","rnf32"
"ENSSSAG00000068465","ENSDARG00000041107","ENSG00000001626","cftr","cftr","CFTR","CFTR","cftr"
"ENSSSAG00000068469","ENSDARG00000015731","ENSG00000171714","ano5a","ano5a","ANO5","ANO5","ano5"
"ENSSSAG00000068472","ENSDARG00000068562|ENSDARG00000094896","ENSG00000184863","rbm33a","rbm33a|rbm33b","RBM33","RBM33","rbm33"
"ENSSSAG00000068473","ENSDARG00000104528","ENSG00000134873","cldn10b","cldn10b","CLDN10","CLDN10","cldn10"
"ENSSSAG00000068476","ENSDARG00000099598","ENSG00000134873",NA,"","CLDN10","CLDN10","cldn10"
"ENSSSAG00000068477","ENSDARG00000010658","ENSG00000186480","insig1","insig1","INSIG1","INSIG1","insig1"
"ENSSSAG00000068478","ENSDARG00000101560","ENSG00000129084","psma1","psma1","PSMA1","PSMA1","psma1"
"ENSSSAG00000068479","ENSDARG00000051886","ENSG00000167522","ankrd11","ankrd11","ANKRD11","ANKRD11","ankrd11"
"ENSSSAG00000068481","ENSDARG00000068557","ENSG00000157219","htr5ab","htr5ab","HTR5A","HTR5A","htr5a"
"ENSSSAG00000068484","ENSDARG00000056557","ENSG00000129083","copb1","copb1","COPB1","COPB1","copb1"
"ENSSSAG00000068487","ENSDARG00000036252","ENSG00000133818","rras2","rras2","RRAS2","RRAS2","rras2"
"ENSSSAG00000068492","ENSDARG00000026988","ENSG00000065491","tbc1d22b","tbc1d22b","TBC1D22B","TBC1D22B","tbc1d22b"
"ENSSSAG00000068493","ENSDARG00000062165","ENSG00000166402","tub","tub","TUB","TUB","tub"
"ENSSSAG00000068494","ENSDARG00000037415","ENSG00000170579","dlgap1b","dlgap1b","DLGAP1","DLGAP1","dlgap1"
"ENSSSAG00000068498","ENSDARG00000035054","ENSG00000114209","pdcd10a","pdcd10a","PDCD10","PDCD10","pdcd10"
"ENSSSAG00000068499","ENSDARG00000105549","ENSG00000166405","ric3a","ric3a","RIC3","RIC3","ric3"
"ENSSSAG00000068503","ENSDARG00000034504","ENSG00000166407","lmo1","lmo1","LMO1","LMO1","lmo1"
"ENSSSAG00000068504","ENSDARG00000080987","NA","rmrp","rmrp",NA,NA,"rmrp"
"ENSSSAG00000068507","ENSDARG00000040002","ENSG00000130653","pnpla7b","pnpla7b","PNPLA7","PNPLA7","pnpla7"
"ENSSSAG00000068508","ENSDARG00000054237|ENSDARG00000054252|ENSDARG00000054254|ENSDARG00000054261|ENSDARG00000076345|ENSDARG00000086732|ENSDARG00000091796|ENSDARG00000092399|ENSDARG00000093266|ENSDARG00000093785|ENSDARG00000094261|ENSDARG00000094490|ENSDARG00000094626|ENSDARG00000094797|ENSDARG00000094997|ENSDARG00000095035|ENSDARG00000095156|ENSDARG00000095620|ENSDARG00000095748|ENSDARG00000096070|ENSDARG00000096086|ENSDARG00000096087|ENSDARG00000096168|ENSDARG00000096169|ENSDARG00000109278|ENSDARG00000109285|ENSDARG00000109383|ENSDARG00000109580|ENSDARG00000109754|ENSDARG00000109828|ENSDARG00000109978|ENSDARG00000110071|ENSDARG00000110203|ENSDARG00000110430|ENSDARG00000110514|ENSDARG00000110775|ENSDARG00000111001|ENSDARG00000111623|ENSDARG00000111670|ENSDARG00000111859|ENSDARG00000111901|ENSDARG00000111995|ENSDARG00000112013|ENSDARG00000112373|ENSDARG00000112400|ENSDARG00000112619|ENSDARG00000112669|ENSDARG00000112699|ENSDARG00000112935|ENSDARG00000113219|ENSDARG00000113451|ENSDARG00000114217|ENSDARG00000114285|ENSDARG00000114356|ENSDARG00000114537|ENSDARG00000114708|ENSDARG00000114718|ENSDARG00000114771|ENSDARG00000114800|ENSDARG00000114906|ENSDARG00000115081|ENSDARG00000115263|ENSDARG00000115284|ENSDARG00000115614|ENSDARG00000115718|ENSDARG00000116273|ENSDARG00000116284|ENSDARG00000116428|ENSDARG00000116465|ENSDARG00000116526|ENSDARG00000116643|ENSDARG00000116658|ENSDARG00000116838|ENSDARG00000116999","NA","si:ch211-139n6","taar16a|taar18d|taar18a|taar20c|taar19p|si:ch211-238p8.24|taar18c|taar20d1|taar19f|taar17a|taar19g|taar19k|taar16b|si:dkey-181m19.11|taar18b|taar20t|taar20w|taar19b|taar18j|taar20l|taar20j|taar20a|taar20g|taar20b||taar18e|taar19n|taar19h|taar20u|si:ch211-139n6.10|taar18f|taar20a1|taar20q|taar20m|taar20z|taar20i|taar20x|taar20n|taar20c1|taar16g|si:dkey-181m19.17|taar20o|taar19c|taar19r|taar19m|taar18g|taar20b1|taar19u|taar18i|taar32|taar19q|si:ch211-238p8.31|taar19e|taar19i|taar20p|taar19a|taar20r|taar19d|si:ch211-238p8.18|si:ch211-238p8.10|taar19t|taar16f|taar19l|taar20h|si:ch211-139n6.11|taar19j|taar20f|taar18h|taar19s|taar19o",NA,NA,"si:ch211-139n6"
"ENSSSAG00000068510","ENSDARG00000044134","ENSG00000067704","iars2","iars2","IARS2","IARS2","iars2"
"ENSSSAG00000068512","ENSDARG00000054237|ENSDARG00000054252|ENSDARG00000054254|ENSDARG00000054261|ENSDARG00000076345|ENSDARG00000086732|ENSDARG00000091796|ENSDARG00000092399|ENSDARG00000093266|ENSDARG00000093785|ENSDARG00000094261|ENSDARG00000094490|ENSDARG00000094626|ENSDARG00000094797|ENSDARG00000094997|ENSDARG00000095035|ENSDARG00000095156|ENSDARG00000095620|ENSDARG00000095748|ENSDARG00000096070|ENSDARG00000096086|ENSDARG00000096087|ENSDARG00000096168|ENSDARG00000096169|ENSDARG00000109278|ENSDARG00000109285|ENSDARG00000109383|ENSDARG00000109580|ENSDARG00000109754|ENSDARG00000109828|ENSDARG00000109978|ENSDARG00000110071|ENSDARG00000110203|ENSDARG00000110430|ENSDARG00000110514|ENSDARG00000110775|ENSDARG00000111001|ENSDARG00000111623|ENSDARG00000111670|ENSDARG00000111859|ENSDARG00000111901|ENSDARG00000111995|ENSDARG00000112013|ENSDARG00000112373|ENSDARG00000112400|ENSDARG00000112619|ENSDARG00000112669|ENSDARG00000112699|ENSDARG00000112935|ENSDARG00000113219|ENSDARG00000113451|ENSDARG00000114217|ENSDARG00000114285|ENSDARG00000114356|ENSDARG00000114537|ENSDARG00000114708|ENSDARG00000114718|ENSDARG00000114771|ENSDARG00000114800|ENSDARG00000114906|ENSDARG00000115081|ENSDARG00000115263|ENSDARG00000115284|ENSDARG00000115614|ENSDARG00000115718|ENSDARG00000116273|ENSDARG00000116284|ENSDARG00000116428|ENSDARG00000116465|ENSDARG00000116526|ENSDARG00000116643|ENSDARG00000116658|ENSDARG00000116838|ENSDARG00000116999","NA","si:ch211-139n6","taar16a|taar18d|taar18a|taar20c|taar19p|si:ch211-238p8.24|taar18c|taar20d1|taar19f|taar17a|taar19g|taar19k|taar16b|si:dkey-181m19.11|taar18b|taar20t|taar20w|taar19b|taar18j|taar20l|taar20j|taar20a|taar20g|taar20b||taar18e|taar19n|taar19h|taar20u|si:ch211-139n6.10|taar18f|taar20a1|taar20q|taar20m|taar20z|taar20i|taar20x|taar20n|taar20c1|taar16g|si:dkey-181m19.17|taar20o|taar19c|taar19r|taar19m|taar18g|taar20b1|taar19u|taar18i|taar32|taar19q|si:ch211-238p8.31|taar19e|taar19i|taar20p|taar19a|taar20r|taar19d|si:ch211-238p8.18|si:ch211-238p8.10|taar19t|taar16f|taar19l|taar20h|si:ch211-139n6.11|taar19j|taar20f|taar18h|taar19s|taar19o",NA,NA,"si:ch211-139n6"
"ENSSSAG00000068513","ENSDARG00000054318","ENSG00000130413","stk33","stk33","STK33","STK33","stk33"
"ENSSSAG00000068515","ENSDARG00000078311","ENSG00000143164","dcaf6","dcaf6","DCAF6","DCAF6","dcaf6"
"ENSSSAG00000068519","ENSDARG00000044795","ENSG00000054179","entpd2b","entpd2b","ENTPD2","ENTPD2","entpd2"
"ENSSSAG00000068520","ENSDARG00000034836","NA","si:dkey-222n6","si:dkey-222n6.2",NA,NA,"si:dkey-222n6"
"ENSSSAG00000068523","ENSDARG00000091859","NA","si:ch73-233m11","si:ch73-233m11.2",NA,NA,"si:ch73-233m11"
"ENSSSAG00000068524","ENSDARG00000054332","ENSG00000166436","trim66","trim66","TRIM66","TRIM66","trim66"
"ENSSSAG00000068526","ENSDARG00000034168","ENSG00000163536","serpini1","serpini1","SERPINI1","SERPINI1","serpini1"
"ENSSSAG00000068527","ENSDARG00000015566","ENSG00000119772","dnmt3ab","dnmt3ab","DNMT3A","DNMT3A","dnmt3a"
"ENSSSAG00000068529","ENSDARG00000111801","NA",NA,"",NA,NA,NA
"ENSSSAG00000068531","ENSDARG00000102538","ENSG00000078070","mccc1","mccc1","MCCC1","MCCC1","mccc1"
"ENSSSAG00000068532","ENSDARG00000014545","NA","golim4b","golim4b",NA,NA,"golim4b"
"ENSSSAG00000068533","ENSDARG00000002365","ENSG00000139624","cers5","cers5","CERS5","CERS5","cers5"
"ENSSSAG00000068535","ENSDARG00000101060","ENSG00000147174","gcna","gcna","GCNA","GCNA","gcna"
"ENSSSAG00000068536","ENSDARG00000079839","ENSG00000197070","arrdc1b","arrdc1b","ARRDC1","ARRDC1","arrdc1"
"ENSSSAG00000068537","ENSDARG00000101170","NA","rab42b","rab42b",NA,NA,"rab42b"
"ENSSSAG00000068538","ENSDARG00000060398","ENSG00000163933","rft1","rft1","RFT1","RFT1","rft1"
"ENSSSAG00000068541","ENSDARG00000030116","ENSG00000100647","susd6","susd6","SUSD6","SUSD6","susd6"
"ENSSSAG00000068542","ENSDARG00000031095","ENSG00000197415","veph1","veph1","VEPH1","VEPH1","veph1"
"ENSSSAG00000068543","ENSDARG00000101510","ENSG00000177143","cetn2","cetn2","CETN1","CETN1","cetn1"
"ENSSSAG00000068546","ENSDARG00000027734","ENSG00000100650","srsf5b","srsf5b","SRSF5","SRSF5","srsf5"
"ENSSSAG00000068549","ENSDARG00000099315","ENSG00000147383","nsdhl","nsdhl","NSDHL","NSDHL","nsdhl"
"ENSSSAG00000068550","ENSDARG00000103181","NA","si:dkey-34d22","si:dkey-34d22.1",NA,NA,"si:dkey-34d22"
"ENSSSAG00000068553","ENSDARG00000002591","ENSG00000175792","ruvbl1","ruvbl1","RUVBL1","RUVBL1","ruvbl1"
"ENSSSAG00000068554","ENSDARG00000020764","NA","slmapb","slmapb",NA,NA,"slmapb"
"ENSSSAG00000068555","ENSDARG00000103917","ENSG00000147394","znf185","znf185","ZNF185","ZNF185","znf185"
"ENSSSAG00000068556","ENSDARG00000004696","ENSG00000132394","eefsec","eefsec","EEFSEC","EEFSEC","eefsec"
"ENSSSAG00000068557","ENSDARG00000022187","ENSG00000148429","usp6nl","usp6nl","USP6NL","USP6NL","usp6nl"
"ENSSSAG00000068559","ENSDARG00000070894","ENSG00000163686","abhd6b","abhd6b","ABHD6","ABHD6","abhd6"
"ENSSSAG00000068561","ENSDARG00000062976","ENSG00000010295","iffo1a","iffo1a","IFFO1","IFFO1","iffo1"
"ENSSSAG00000068562","ENSDARG00000007753","ENSG00000140848","cpne2","cpne2","CPNE2","CPNE2","cpne2"
"ENSSSAG00000068564","ENSDARG00000023703","ENSG00000168301","kctd6b","kctd6b","KCTD6","KCTD6","kctd6"
"ENSSSAG00000068566","ENSDARG00000103391","ENSG00000123570","rab9b","rab9b","RAB9B","RAB9B","rab9b"
"ENSSSAG00000068570","ENSDARG00000089921","ENSG00000168273","uqcc5","uqcc5","UQCC5","UQCC5","uqcc5"
"ENSSSAG00000068571","ENSDARG00000101910","NA","pcdh20l","pcdh20l",NA,NA,"pcdh20l"
"ENSSSAG00000068572","ENSDARG00000031489","ENSG00000106809","ognb","ognb","OGN","OGN","ogn"
"ENSSSAG00000068573","ENSDARG00000055124","ENSG00000163660","ccnl1a","ccnl1a","CCNL1","CCNL1","ccnl1"
"ENSSSAG00000068581","ENSDARG00000088168","ENSG00000173210","ablim3","ablim3","ABLIM3","ABLIM3","ablim3"
"ENSSSAG00000068583","ENSDARG00000062532","ENSG00000099290|ENSG00000172661","washc2c","washc2c","WASHC2A","WASHC2A|WASHC2C","washc2c"
"ENSSSAG00000068588","ENSDARG00000054063","ENSG00000241553","arpc4","arpc4","ARPC4","ARPC4","arpc4"
"ENSSSAG00000068589","ENSDARG00000089187","NA","wfdc2","wfdc2",NA,NA,"wfdc2"
"ENSSSAG00000068591","ENSDARG00000037363","ENSG00000166444","dennd2b","dennd2b","DENND2B","DENND2B","dennd2b"
"ENSSSAG00000068593","ENSDARG00000035629","ENSG00000197702","parvab","parvab","PARVA","PARVA","parva"
"ENSSSAG00000068597","ENSDARG00000089162","ENSG00000157510","afap1l1a","afap1l1a","AFAP1L1","AFAP1L1","afap1l1"
"ENSSSAG00000068598","ENSDARG00000054560|ENSDARG00000054562","NA","her15","her15.2|her15.1",NA,NA,"her15"
"ENSSSAG00000068599","ENSDARG00000054560|ENSDARG00000054562","NA","her15","her15.2|her15.1",NA,NA,"her15"
"ENSSSAG00000068601","ENSDARG00000027916","ENSG00000257365","fntb","fntb","FNTB","FNTB","fntb"
"ENSSSAG00000068604","ENSDARG00000073881","ENSG00000136052","slc41a2b","slc41a2b","SLC41A2","SLC41A2","slc41a2"
"ENSSSAG00000068605","ENSDARG00000101081","ENSG00000060656","ptprub","ptprub","PTPRU","PTPRU","ptpru"
"ENSSSAG00000068606","ENSDARG00000061397","ENSG00000153827","trip12","trip12","TRIP12","TRIP12","trip12"
"ENSSSAG00000068607","ENSDARG00000076703","ENSG00000172671","zfand4","zfand4","ZFAND4","ZFAND4","zfand4"
"ENSSSAG00000068608","ENSDARG00000076357","ENSG00000293560",NA,"","MYH16","MYH16","myh16"
"ENSSSAG00000068611","ENSDARG00000062489","ENSG00000165406","marchf8","marchf8","MARCHF8","MARCHF8","marchf8"
"ENSSSAG00000068615","ENSDARG00000032237","ENSG00000053900","anapc4","anapc4","ANAPC4","ANAPC4","anapc4"
"ENSSSAG00000068619","ENSDARG00000098453","ENSG00000157881","pank4","pank4","PANK4","PANK4","pank4"
"ENSSSAG00000068621","ENSDARG00000043148","ENSG00000079215","slc1a3b","slc1a3b","SLC1A3","SLC1A3","slc1a3"
"ENSSSAG00000068626","ENSDARG00000006137","ENSG00000147465","star","star","STAR","STAR","star"
"ENSSSAG00000068628","ENSDARG00000018529","ENSG00000107798","lipf","lipf","LIPA","LIPA","lipa"
"ENSSSAG00000068629","ENSDARG00000057206","ENSG00000136448","nmt1b","nmt1b","NMT1","NMT1","nmt1"
"ENSSSAG00000068630","ENSDARG00000055540","ENSG00000114268","pfkfb4a","pfkfb4a","PFKFB4","PFKFB4","pfkfb4"
"ENSSSAG00000068631","ENSDARG00000105185","ENSG00000162627","snx7","snx7","SNX7","SNX7","snx7"
"ENSSSAG00000068635","ENSDARG00000052109","ENSG00000174326","zgc:114041","zgc:114041","SLC16A11","SLC16A11","slc16a11"
"ENSSSAG00000068636","ENSDARG00000045269","ENSG00000150787","pts","pts","PTS","PTS","pts"
"ENSSSAG00000068637","ENSDARG00000043085|ENSDARG00000043089|ENSDARG00000057273|ENSDARG00000069966","ENSG00000012779","alox5b","alox5b.1|alox5b.2|alox5a|alox5b.3","ALOX5","ALOX5","alox5"
"ENSSSAG00000068638","ENSDARG00000037558","ENSG00000198881","asb12b","asb12b","ASB12","ASB12","asb12"
"ENSSSAG00000068639","ENSDARG00000035608","ENSG00000247077","pgam5","pgam5","PGAM5","PGAM5","pgam5"
"ENSSSAG00000068640","ENSDARG00000101348","ENSG00000117598","plppr5b","plppr5b","PLPPR5","PLPPR5","plppr5"
